"","show_title","imdb_rating","release_year","runtime","genre","parental_guideline","imdb_votes","synopsis"
"407","Swat Kats: The Radical Squadron","8.4","1993-1995",22,"Animation, Action, Family","TV-PG",4298,"In a world of anthropomorphic felines, two demoted fighter pilots battle evil as high flying masked vigilantes."
"408","Hulk and the Agents of S.M.A.S.H.","6.1","2013-2015",23,"Animation, Action, Adventure","TV-Y7",2954,"The Incredible Hulk teams up with Red Hulk, She-Hulk, Skaar, and Rick Jones aka A-Bomb to battle the forces of evil in front of cameras for Rick's web-based series to show the Hulk is more hero than monster."
"409","Powerpuff Girls Z","5.3","2006-2019",NA,"Animation, Action, Adventure",NA,537,"Three ordinary girls gain superpowers and protect their home city from a variety of villains."
"410","The Highwayman","6.6","1987-1988",60,"Action, Sci-Fi",NA,447,"Series starring a big high-tech 18-wheeler. The driver, the title's 'Highwayman' was one of a team of federal marshals empowered to right wrongs ""where ordinary laws do not reach"" - and to ... See full summary »"
"411","Swamp Thing","6.5","1990-1993",30,"Sci-Fi",NA,929,"When an attempt on Dr. Alec Holland's life leaves him consumed by deadly chemicals and fire, the swamps of Louisiana transform him into a superhuman creature hell-bent on ridding the swamp--and the world--of the evil that men do."
"412","Power Rangers Lightspeed Rescue","6.5","2000-2001",30,"Action, Adventure, Drama","TV-Y7",1876,"Five young adults are recruited by the Lightspeed Rescue organization to protect the city of Marnier Bay from the forces of evil."
"413","Johnny Test","6.9","2021-",NA,"Animation, Action, Comedy","TV-Y7",303,"Johnny Test has exciting adventures with his genetically-engineered superdog, Dukey, and his science-loving sisters, Susan and Mary."
"414","Silverhawks","7.3","1986-",23,"Action, Sci-Fi, Family","TV-Y7",3073,"A team of cyborgs protects Limbo from Mon Star and his gang."
"415","The Super Hero Squad Show","6.1","2009-2011",NA,"Animation, Action, Comedy","TV-Y7",1752,"Marvel's greatest heroes and evilest of villains battle it out in action packed, yet somewhat satirical alternate universe-style adventures."
"416","Biker Mice from Mars","7","1993-1996",30,"Animation, Action, Adventure","TV-Y7",4462,"When three alien motorcycle riding mice are forced to leave their home planet of Mars thanks to the evil mining Plutarkians, they rebel against their enemies on planet Earth and the city of Chicago."
"417","Kamen Rider Revice","8.2","2021-2022",25,"Action, Adventure, Comedy","TV-PG",73,"Deadmans is an organization that worships demons. Through the use of mysterious Vistamps, monsters called Deadman are born from within humans. Fighting to protect his family from Deadmans' ... See full summary »"
