"","show_title","imdb_rating","release_year","runtime","genre","parental_guideline","imdb_votes","synopsis"
"506","Shaggy & Scooby-Doo Get a Clue!","4.6","2006-2008",NA,"Animation, Action, Adventure","TV-Y7",917,"Adventures of Mystery, Inc. members Shaggy and Scooby-Doo as they solve various crimes around the world with the help of inherited cash and inventions from Shaggy's missing uncle."
"507","Kikai Sentai Zenkaiger","7.6","2021-2022",25,"Action, Adventure, Comedy","TV-PG",63,"When an all-powerful enemy appears to destroy all parallel worlds, a hero with the spirit of all Super Sentai will rise to fight back. Transforming into ZenKaizer, he joins forces with four... See full summary »"
"508","Birdman","6.8","1967-1987",30,"Animation, Action, Adventure","TV-G",981,"A winged superhero who gets his powers from the sun battles various evildoers with the help of his eagle sidekick Avenger."
"509","Kappa Mikey","6.6","2006-2008",22,"Animation, Adventure, Comedy","TV-Y7",1113,"Parody of Japanese anime, featuring a guy named Mikey who travels to Japan to star in an anime, where he discovers his new co-stars are all basically walking anime clichés."
"510","Loonatics Unleashed","5.6","2005-2007",30,"Animation, Action, Adventure","TV-Y7",976,"The futuristic descendants of the Looney Tunes characters become superheroes when the aftershock of an alien meteor grants them each with strange new powers."
"511","Shaktimaan Animated","7.3","2011-2013",NA,"Animation, Action, Family",NA,50,"Vehaan Arya, a young college student with yogic superpowers, is forced to leave the Himalayas and become Shaktimaan in order to stop Kilvish from wreaking global havoc."
"512","Marvel Anime","6.9","2010-2011",NA,"Animation, Sci-Fi",NA,295,"Series from Marvel set more to the environment of Anime than typical American fare. Plenty of lengthy dialog, emotion and angst to go around, as well as grossly-mutating monsters to please the most demanding anime fans."
"513","The Life and Times of Juniper Lee","6.5","2005-2007",30,"Animation, Action, Adventure","TV-Y7-FV",2756,"Juniper Lee is an 11 year old girl who can fight the force of chaos and curses. One day she skipped one of her friends' birthdays and fights the chaos again."
"514","Bananaman","6.7","1983-1986",5,"Animation, Comedy, Family",NA,1660,"Stupid, but well-meaning and super-strong super-hero, Bananaman gets his strength from eating bananas. Before he eats a banana, Bananaman is a young boy called Eric who is keen to keep his ... See full summary »"
"515","Iron Man","6.4","2010",25,"Animation, Action, Sci-Fi","TV-14",1255,"When Tony Stark branches his company into Japan, he is opposed by the nefarious Zodiac organization. It's up to Stark's Iron Man to defeat the Zodiac, and defend Japan."
"516","Quick Draw McGraw","6.8","1959-1962",30,"Animation, Comedy, Family","TV-G",1881,"Quick Draw Mcgraw was a dimwitted and lanky mustang (horse) who caused much chaos in the Old West. If he could get his own six shooter out of his holster at all, he would usually shoot the ... See full summary »"
"517","The Herculoids","7.4","1967-1969",10,"Animation, Adventure, Sci-Fi","TV-Y7",1123,"King Zandor and a group of bizarre creatures protect their futuristic kingdom from creatures from other galaxies."
"518","GoGo Sentai Boukenger","7.8","2006-2007",25,"Action, Adventure, Comedy","TV-PG",151,"Powerful artifacts known as Precious have been appearing around the world. A group of various villians known as the Negative Syndicates wish to take the Precious for themselves and utilize ... See full summary »"
"519","Tokyo Mew Mew","7","2002-2003",24,"Animation, Action, Adventure","TV-Y7",1148,"One day while on her first date 11-year old Ichigo, became a super hero. After a mysterious earth quake, she was giving Animal Geens, and became part of the Mew Squad. Together they fight evil aliens, and protect the world."
"520","The Head","6.6","1994-1996",22,"Animation, Action, Adventure","TV-14",1243,"Jim and Roy, a friendly violet demonic-looking alien that inhabits Jim's giant head, must stop an alien invasion. Misguided FBI agents and a manipulated mad doctor stand in their way, but Jim finds allies."
"521","Earthworm Jim","7.4","1995-1996",30,"Animation, Short, Action","TV-Y",2094,"An average Earthworm stumbles upon a supersuit that makes him a superheroic worm!"
"522","Super Power Beat Down","8.3","2012-",NA,"Short",NA,370,"Machinima and Bat in the Sun's web series ""Super Power Beat Down"" takes two super-powered legends and makes them battle! Experts Marisha Ray, Jennifer Wegner, Damian Beurer and Andy Liegl ... See full summary »"
"523","Freedom Fighters: The Ray","5.8","2017-2018",6,"Animation, Action, Fantasy",NA,1079,"Reporter Raymond ""Ray"" Terrill is investigating a group of government scientists who are developing a weapon using light, when he is attacked with a ""genetic light bomb"" that ends up bestowing him with light-based super powers."
"524","Go Jetters","7.9","2015-",NA,"Animation",NA,149,"Four explorers on a Global adventure. Xuli, Kyan, Lars, Foz. They are the Go Jetters...!"
"525","Superhuman Samurai Syber-Squad","7","1994-1995",20,"Animation, Family, Action","TV-Y7",568,"Typical teenager Sam Collins (Matthew Lawrence) and his friends secretly fight virus monsters by transporting themselves into the computer."
"526","The Phoenix","7.1","1981-1982",60,"Sci-Fi",NA,265,"An ancient and powerful human-like alien is pursued on modern Earth while he searches for his long lost partner."
"527","Astro Boy","7","2003-2004",30,"Animation, Action, Adventure","TV-Y7",456,"Starring Astro, Japan's first Superhero and a modern folk hero- an anime adaption for the new century based on the seminal manga 'Astro Boy' by the 'God of Manga' Osamu Tezuka."
"528","Twelve Forever","6.4","2019",NA,"Animation, Action, Adventure","TV-Y7",655,"Reggie's dream is to be a kid forever. Her dream is so powerful that it creates its own fantasy world of perpetual youth."
"529","Conan the Adventurer","7.3","1992-1993",25,"Animation, Action, Fantasy","TV-Y7",1287,"Young Cimmerian barbarian Conan and his allies must stop snake-man wizard Wrath-Amon and his snake-men army from resurrecting evil serpent god Set. Conan must also destroy the evil wizard's ring that turned his family into stone."
"530","Extraordinary","Not-Rated","TBA",25,"Action, Adventure, Comedy",NA,NA,"Jen, a young, self-aware woman who lives in a world where everyone has a superpower except her."
"531","Spider-Woman","5.8","1979-1980",21,"Animation, Action, Family","TV-Y7",776,"The adventures of a female superhero with spider-like abilities."
"532","SSSS.Gridman","7","2018",23,"Animation, Action, Adventure","TV-14",643,"A being calling itself ""Hyper Agent Gridman"" contacts high schooler Yuta through an old computer, recruiting him in the fight against impending terror."
"533","Batman Unlimited","6.8","2015-2016",3,"Animation",NA,353,"This merchandise show displays short episodic battles, and other encounters, around Batman and his Batfamily like Nightwing, Red Robin and Robin. The episodes manage without dialogues."
"534","Ronin Warriors","7.4","1988-1995",23,"Animation, Action, Adventure","PG-13",803,"After a thousand years of exile, Talpa, ruler of the Netherworld, returns to claim the Earth as his own. The only thing that can stop him and his minions are five young men and their mystical suits of armor."
"535","Chop Socky Chooks","4.4","2007-2008",11,"Animation, Action, Comedy","TV-Y7-FV",469,"Three kung fu fighting chickens battle the owner of their city-sized shopping mall."
"536","Ultraman: Tiga","7.8","1996-1997",30,"Action, Adventure, Comedy","TV-Y7",388,"A high-tech squadron protects Earth from evil monsters and aliens with the help of a giant super-being named Ultraman Tiga."
"537","Tokyo Mew Mew New",NA,"2022-",24,"Animation, Action, Adventure",NA,NA,"Follows Ichigo Momomiya, a girl who transforms into Mew Ichigo with the power of the Iriomote leopard cat to save Earth from parasitic Chimera Anima aliens."
"538","Ninjak vs the Valiant Universe","6.7","2018-",NA,"Action, Adventure, Crime",NA,372,"A British intelligence agent and martial artist with a dark, mysterious alter ego battles his way through the heroes and villains of the Valiant Universe."
"539","Hulk","6.5","1966",NA,"Animation, Action, Sci-Fi","TV-G",978,"The adventures of a nuclear scientist cursed with the tendency to turning into a huge green brute under stress."
"540","Super Force","7","1990-1992",30,"Action, Adventure, Crime",NA,346,"In the year 2020, an astronaut becomes a vigilante when he returns from a mission to learn his cop brother's been murdered."
"541","Supernoobs","3.3","2015-2019",30,"Animation, Action, Comedy","TV-Y7-FV",833,"4 12 year old 7th Graders in middle school friend embark on adventures with battle balls to save the world from a virus."
"542","Road Rovers","7.2","1996-1997",30,"Animation, Action, Comedy","TV-Y",296,"Road Rovers is an animated action/adventure series starring the most buffed-up and powerful howling hounds ever to walk the planet. The series features fur-raising adventures of man's best ... See full summary »"
"543","Super Robot Monkey Team Hyperforce Go!","6.5","2004-2006",30,"Animation, Action, Adventure","TV-Y7-FV",2209,"A twelve-year-old boy named Chiro was exploring the outskirts of Shuggazoom City and discovered a giant and abandoned Super Robot."
"544","The Aquabats! Super Show!","8.5","2012-2018",NA,"Adventure, Comedy, Family","TV-PG",672,"A rock band, consisting of five superheroes, battle a new monster every episode in a retro campy style, complete with fake commercials and an appearance each week of the Aquabats in cartoon form."
"545","Yin Yang Yo!","6","2006-2009",10,"Animation, Short, Action","TV-G",2631,"Two rabbit siblings are trained by their panda mentor in the mystic martial art of Woo-Foo, in hopes that they can protect the world from ever-present evil forces."
"546","James Bond Jr.","6.1","1991-1992",30,"Animation, Action, Adventure","TV-Y",632,"The nephew of MI6's greatest spy carries on his uncle's legacy by combating a rogues' gallery of new and familiar villains with the help of his schoolmates."
"547","Wonderbug","6.5","1976-1978",15,"Action, Adventure, Comedy",NA,174,"The adventures of a living clunker of a dune buggy that is able to become a superhero car."
"548","Gotham Stories","7.3","2016",3,"Animation, Short, Crime","TV-14",242,"Bridging the gap between ""Gotham"" Season 2's first and second half, this web series unveils the latest challenge to Penguin's leadership, Mr. Freeze."
"549","Sheena: Queen of the Jungle","6.9","1955-",28,"Adventure",NA,113,"Add a Plot"
"550","Atomic Betty","5.4","2004-2010",30,"Animation, Action, Adventure","TV-Y7",1973,"A smart, and sugary-sweet Canadian girl leads a double life as a defender of the galaxy."
"551","Journey to the West","8.7","1986-2000",45,"Action, Adventure",NA,1340,"An account of the legendary pilgrimage of the Tang dynasty Buddhist monk Tang Shen who traveled to the ""Western Regions"", that is, Central Asia and India, to obtain Buddhist sacred texts (... See full summary »"
"552","SSSS.Dynazenon","6.8","2021",24,"Animation, Action, Adventure","TV-14",198,"After a chance encounter with a self-proclaimed kaiju tamer, a high school student is drawn into a world of fighting mechas and monsters."
"553","Harley Quinn","6.5","2015-",NA,"Action",NA,65,"With Batman and The Joker mysteriously missing from Gotham, Harleen Quinzel struggles to keep her alternate personality Harley Quinn suppressed as she is determined to find her ""Mistah J"". ... See full summary »"
"554","The Zeta Project","7.1","2001-2003",30,"Animation, Action, Adventure","TV-Y7",855,"A robot rebels against its creators, refusing to kill, and goes on the run."
"555","Beast Machines: Transformers","6.8","1999-2001",30,"Animation, Action, Adventure","TV-Y7",2481,"The Maximals awaken on their home planet of Cybertron and are chased by mindless Vehicons created by Megatron. The Maximals must free the planet from Megatron and restore it to its real way of living."
"556","Darkwing Duck","Not-Rated","TBA",NA,"Animation, Action, Adventure",NA,NA,"Which followed the titular duck superhero, who lived an ordinary suburban life under the secret identity of Drake Mallard."
"557","Magical Girl Friendship Squad","2.5","2020-",12,"Animation, Short, Comedy","TV-MA",1253,"Two girls are chosen by a red panda to save the universe by using newfound magical powers"
"558","Miniforce","4.4","2014-2016",20,"Animation, Action, Adventure","TV-Y7",52,"Four animal superheroes called the miniforce transform into robots to protect small and defenceless creatures from the hands of scheming villains."
"559","Mega Man","6.8","1994-1995",22,"Animation, Action, Adventure","TV-Y7",1007,"Based off of the popular video game, Mega Man. In the year 200X, robot scientists Dr. Thomas Light and Dr. Albert Wily were completing their special project, robot assistants, which will ... See full summary »"
"560","LadyLion","Not-Rated","TBA",NA,"Animation, Action, Adventure","TV-Y7",NA,"Add a Plot"
"561","Silk","Not-Rated","TBA",NA,"Action, Adventure, Sci-Fi",NA,NA,"Plot unknown."
"562","Aquaman","6.9","1967-1969",30,"Animation, Action, Adventure","TV-Y7",650,"The adventures of the aquatic superhero and his friends."
"563","Stretch Armstrong & the Flex Fighters","6.4","2017-2018",22,"Animation, Short, Action","TV-Y7-FV",305,"An action-comedy series based on Hasbro's stretchy, heroic toy."
"564","Kamen Rider Build","8.5","2017-2018",24,"Action, Adventure, Comedy","TV-PG",487,"10 years ago when the Pandora Box was discovered on Mars and brought to Earth, it's activated and creates a Skywall which divides Japan into Touto, Seito, and Hokuto resulting into untold chaos."
"565","Guyver: The Bioboosted Armor","7.6","1989-",53,"Animation, Action, Sci-Fi",NA,877,"Sho and his friend Tetsurou stumble upon an odd alien artifact while walking through the woods. Then, the alien artifact breaks free of its metallic bonds and enters Sho's body, turning him... See full summary »"
"566","Flash Gordon","7","1979-1982",30,"Animation, Action, Adventure","TV-Y7",955,"The adventures of the comic strip space hero and his friends as they battle the tyranny of Ming the Merciless on the planet Mongo."
"567","Street Fighter: The Animated Series","5.9","1995-1997",22,"Animation, Action, Adventure","TV-Y7",460,"Col. William Guile and his co-horts must fight to thwart Gen. Bison's evil schemes."
"568","Slimer! And the Real Ghostbusters","6.1","1988-1990",NA,"Animation, Adventure, Comedy","TV-Y7",567,"Episodes feature the Ghostbusters as well as their secretary Janine. But the main star of this show is their pet ghost Slimer, who's joined by some new friends and some new enemies."
"569","Grossology","6.3","2006-2009",30,"Animation, Action, Adventure","TV-Y7-FV",407,"Abby & Ty Archer work for the Grossology department of the Government and solve crimes too gross for adults."
"570","Captain America","6.4","1966",NA,"Animation, Action, Adventure","TV-G",953,"The patriotic sole recipient of a revolutionary body enhancement project battles evil as the star spangled defender of America."
"571","Kamen Rider Saber","6.9","2020-2021",24,"Action, Adventure, Comedy","TV-PG",243,"Since ancient times, there have been books responsible for all of Earth's civilisation. These books were written with all sorts of myths, stories, living things, sources of science and ... See full synopsis »"
"572","Lego Spider-Man Series","6.7","2017-",NA,"Animation, Action, Adventure",NA,35,"When Peter Parker's uncle died, he knew that with great power, comes great responsibility. And he made the decision to fight crime as Spider-Man."
"573","Kulipari: An Army of Frogs","7","2016",20,"Animation, Action, Fantasy","TV-Y7",253,"Anthropomorphic frogs battle the forces of darkness."
"574","Rescue Heroes","6.8","1999-2013",NA,"Animation, Action, Family","TV-Y7",319,"An elite team of rescue personnel respond to emergencies around the world."
"575","Speed Racer: The Next Generation","4.1","2008-2013",22,"Animation, Action, Adventure","TV-Y7",419,"An animated TV series centered on the child of the legendary Speed Racer -- a young talent named after his father who enrolls in an academy for the fastest kids on Earth."
"576","Sidekick","4.3","2010-2019",24,"Animation, Action, Comedy","TV-Y7-FV",1102,"It's about sidekicks and fun."
"577","The Invisible Man","7.3","1958-1960",30,"Drama, Sci-Fi, Thriller",NA,388,"British scientist Dr. Peter Brady (Tim Turner), while working on an invisibility formula, suffers a tragic accident which turns him invisible. Unfortunately, there is no antidote, so, while... See full summary »"
"578","SuperTed","6.9","1983-1986",10,"Animation, Action, Adventure","TV-Y7-FV",1463,"In a toy factory, a newly-made teddy bear is put in a storeroom after being found to be defective. The teddy bear is found by a cosmic being from outer space known as Spotty Man, and Spotty... See full summary »"
"579","Captain Nice","7.1","1967",30,"Comedy",NA,152,"Carter Nash was a chemist in a police department who discovered a liquid which could turn him into Captain Nice, an odd sort of superhero: very shy and dominated by his mother. Captain Nice... See full summary »"
"580","He & She","8","1967-1968",30,"Comedy, Romance",NA,269,"Dick and Paula Hollister are a witty, sophisticated couple living in New York City. Dick is a comic-book artist who has become well-known for creating a superhero called Jetman, which has ... See full summary »"
"581","Masked Rider","6.5","1995-1996",30,"Action, Adventure, Comedy","TV-Y7",436,"Masked Rider is a 1995 live action television series which serves as a spin-off of Power Rangers."
"582","Kamen Rider Black Sun",NA,"2022-",NA,"Action, Adventure, Drama",NA,NA,"A Reboot TV Series of Kamen Rider Black (1987)."
"583","Bridal Mask","8.4","2012",60,"Action, History, Romance",NA,641,"In 1930s Korea, during the Japanese colonial era, a man who is a Korean police officer assigned to aid the Japanese in the annihilation of the local rebellion, secretly dons the 'Bridal Mask' and fights the unjust regime."
"584","Kaizoku Sentai Gokaiger","8.5","2011-2012",25,"Action, Adventure, Comedy","TV-PG",403,"The five space Pirates come to earth looking for the greater powers of the 34 super Squadron."
"585","Avengers: United They Stand","5.5","1999-2000",30,"Animation, Action, Adventure","TV-Y7",932,"The adventures of the Marvel Comics Universe's greatest general membership superhero team."
"586","Mashin Sentai Kiramager","8","2020-2021",25,"Action, Adventure, Comedy","TV-PG",82,"A princess from the Land of Jewels comes to Earth with the Kirama Stones to find individuals with strong ""shining spirits"" known as Kiramental to become the Kiramagers and fight the threat of the Yodon, an imperial army of darkness."
"587","Sherlock Hound","7.5","1984-1985",24,"Animation, Action, Adventure",NA,1422,"The adventures of the canine detective Sherlock Hound and his loyal companions Dr. Watson, Mrs. Hudson and Inspector Lestrade."
"588","The All-New Super Friends Hour","7.2","1977-1978",60,"Animation, Action, Adventure",NA,1742,"A team of the greatest DC Comics superheroes protects Earth with the help of a pair of alien sibling apprentices."
"589","The Web of Spider-Man","6.9","2017-",NA,"Action, Sci-Fi",NA,90,"After the murder of his uncle by a developing gang that has been taking over New York, a young grieving Peter Parker takes vengeance into his own hands by pursuing his uncle's killer as a masked vigilante."
"590","Ultraman","7.6","1972-1973",NA,"Sci-Fi","TV-PG",510,"An English language version of Ultraman: A Special Effects Fantasy Series (1965) following a man named Hayata who transforms into a giant superhero named Ultraman to fight alien invaders and giant monsters that threatened earth."
"591","The Lone Ranger","7.7","1966-1969",30,"Animation, Family, Western",NA,119,"An ex-Texas Ranger fights injustice in the Old West."
"592","Darna","8.6","2009-2010",30,"Action, Drama, Fantasy",NA,53,"The story of Narda, an attractive young woman who grows up in an orphanage and lives a happy, quiet and simple life until she becomes the heiress of a stone that gives her super powers."
"593","Flash Gordon","5.9","1954-1955",30,"Action, Adventure, Family",NA,262,"Space hero Flash Gordon and his crew of the Galaxy Bureau of Investigation patrol space, battling space monsters, power-mad alien dictators and other threats to the stability of the universe."
"594","Max Steel","6.3","2000-2002",30,"Animation, Action, Sci-Fi","TV-Y7",561,"A teenage boy with accidental body enhancements fights the enemies of peace as a super-powered secret agent."
"595","Captain Midnight","8","1954-1958",30,"Sci-Fi","TV-G",133,"In this exciting 15 chapter adventure, Ivan Shark is after a secret range finder that will enable his bombers to engage in a furious reign of terror and Captain Midnight is called upon to stop him."
"596","The Adventures of Superseven","7","2011-2014",14,"Action, Adventure, Comedy",NA,134,"Super7even is an international man of mystery and the top agent for T.H.E.M! (A secret organization, sworn to battle the world wide forces of evil!). Superseven's code name is DANGER! His ... See full summary »"
"597","Bionic Six","7.4","1987-",22,"Animation, Action, Family",NA,806,"A family of cyborg superheroes fights evil around the world."
"598","Gatchaman","7.8","1972-1974",25,"Animation, Action, Adventure","TV-PG",734,"A team of bird-themed superhero ninjas battle the menace of Galactor, a technologically advanced international terrorist organization determined to conquer the world."
"599","Exosquad","8.4","1993-1995",30,"Animation, Drama, Sci-Fi","TV-Y7",1128,"Set in the beginning of the 22nd century, a interplanetary war between humanity and Neosapiens (a fictional race)."
"600","Devilman","6.6","1972-1973",30,"Animation, Action, Fantasy",NA,298,"Akira and his father are killed while mountain climbing in the Himalayas, and Devilman chooses Akira's body as a cover to disguise himself. When Devilman/Akira moves in with the Makimuras, ... See full summary »"
"601","Mazinger Z","7.8","1972-1974",30,"Action, Animation, Sci-Fi",NA,1316,"Teenager Koji Kabuto pilots the amazing super-robot Mazinger Z to avenge its inventor (his grandfather) against the Mycene Empire, led by the evil mad scientist Doctor Hell."
"602","Mortal Kombat: Defenders of the Realm","6","1995-1996",30,"Animation, Action, Adventure","TV-Y7",1283,"After the events of the first Mortal Kombat movie and the third MK video game, the evil forces of Outworld begin their invasion of the Earthrealm and only Raiden and his Mortal Kombat champions stand in their way."
"603","Phantom 2040","7.2","1994-1996",30,"Animation, Action, Crime",NA,608,"The 24th Phantom, the 'Ghost Who Walks,' battles crimes in the future of 2040."
"604","Dinosaur Squadron Zyuranger","7.9","1992-1993",25,"Action, Adventure, Comedy","TV-PG",300,"Kyōryū Sentai Zyuranger is a Japanese tokusatsu television series and the sixteenth installment in the long-running Super Sentai franchise of superhero programs."
"605","Ultra Violet & Blue Demon","Not-Rated","TBA",NA,"Action, Adventure, Comedy",NA,NA,"13-year-old Violet is stunned when a magical luchador mask ""chooses"" her to be the successor to her uncle, the famed luchador Blue Demon Jr. who is actually a secret superhero."
"606","The Secret Squirrel Show","6.8","1965-2003",30,"Animation, Crime, Family","TV-G",1480,"A bucktoothed squirrel is the James Bond of the rodent world."
"607","Garo","7.8","2005-2006",24,"Action, Fantasy, Horror",NA,220,"Garo focuses on Kouga Saezima, the current possessor of the title, Golden Knight Garo, who protects humanity against dark demonic infestations called Horrors. One day he meets a young girl ... See full summary »"
"608","Eon Kid","8.2","2007-",NA,"Animation, Action, Adventure","TV-PG",385,"Marty, an ordinary 11-year-old boy, suddenly becomes the human extension of the Fist of Eon, gaining amazing fighting powers. With the evil General's dark armies in pursuit of his newfound ... See full summary »"
"609","Ultraseven","8.2","1967-1968",30,"Action, Adventure, Drama","TV-PG",376,"An alien superhero from M-78 protects Earth from extraterrestrial threats in this popular classic follow-up to the original ""Ultraman"" TV series."
"610","Batman: Black and White","7.8","2008-",NA,"Animation, Crime, Drama",NA,242,"This Black and White TV series features Batman and his adventures in Gotham city."
"611","Darna","7","2005",NA,"Action, Drama, Fantasy",NA,68,"Evil Queen Braguda together with her race the Anomalka attacks the planet of Marte. Surprised by the attack, Adran, Queen of the Adranika, realizes that Braguda is eager to possess the ... See full summary »"
"612","RoboCop","6.1","1988",21,"Animation, Action, Crime","TV-Y7",964,"Alex Murphy, a police officer, mortally wounded in the line of duty, is turned into a powerful cyborg and continues to serve the public trust, protect the innocent and uphold the law."
"613","Holmes and Yoyo","5.9","1976-1977",30,"Comedy, Crime, Sci-Fi",NA,227,"The cases of a hard luck police detective and his android partner."
"614","G-Force: Guardians of Space","7.4","1987",22,"Animation, Action, Adventure","TV-Y7",749,"A bird-themed superhero team battles the threat of Galactor and his minions, an international terrorist organization with advanced technology."
"615","The Adventures of the Galaxy Rangers","7.6","1986",30,"Animation, Action, Adventure","TV-MA",1258,"Four elite Galaxy Rangers with unique abilities defend law & order among the space colonies and protect humanity from the evil Crown Empire."
"616","A.T.O.M.: Alpha Teens on Machines","7","2005-2007",1248,"Animation, Action","TV-Y7",930,"A.T.O.M. (Alpha Teens on Machines) chronicles the adventures of five teenagers, set in the fictional Landmark City. The Alpha Teens, which consist of Axel Manning (the main character), ... See full summary »"
"617","Super Mario World","7","1991",30,"Animation, Adventure, Comedy","TV-Y7",973,"Mario, Luigi and Princess Toadstool are living in Dinosaur Land and have a cute always hungry dinosaur named Yoshi as a pet and a caveman child as a friend. They must stop evil King Koopa and his minions the Koopalings."
"618","G.I. Joe: Renegades","7","2010-2011",NA,"Animation, Action, Adventure","TV-Y7-FV",1062,"This animated series shows the Joes on the run from the Government, trying to clear their names and stop their evil nemesis, Cobra."
"619","Perman","8.1","1983-1985",15,"Animation, Action, Adventure","TV-Y7",513,"A clumsy boy, Mitsuo is chosen as apprentice to a powerful superhero."
"620","Aaryaman Brahmand Ka Yoddha","6.2","2002-",45,"Action, Adventure, Sci-Fi",NA,125,"Aryamaan the warrior Prince will Save the people of Ariyana galaxy from all adverse situations."
"621","Transformers: Cybertron","6.5","2005",30,"Animation, Action, Adventure","TV-Y7",886,"The Autobots embark on a quest to locate mystical artifacts to save their homeworld of Cybertron from being sucked into a black hole. But the Decepticons want to get their hands on those artifacts too."
"622","Devilman Lady","6.4","1998-1999",30,"Animation, Action, Drama","TV-MA",262,"A supermodel is attacked by a monster which brings her inner devil out. However, she doesn't let go of her humanity, so a secret government agency asks her to help them fight the demonic forces that secretly threaten Japan and the world."
"623","Ultimate Muscle: The Kinnikuman Legacy","7.6","2002-2004",30,"Comedy, Action, Animation","TV-Y7",422,"Bulging Biceps! The world of wrestling will never be the same! There's a new kid in town...Kid Muscle! A superhero wrestler, Born as Mantaro Kinnikuman, He's The Son Of The Legendary King ... See full summary »"
"624","The Space Giants","7.6","1966-",30,"Sci-Fi",NA,161,"Goldar and his family of robots are sent to earth to stop Rodak the conqueror, in his plans of destroy the earth aided by his giant kaijus and shapeshifting minions: the lugo-men."
"625","Transformers: Energon","6.1","2004",24,"Animation, Action, Adventure","TV-Y7",786,"Years after ""Transformers: Armada"", the Autobots continue to battle the Decepticons, but this time they must also prevent the resurrection of Unicron."
"626","Hero Bhakti Hi Shakti Hai","7.4","2005-2007",30,"Action, Adventure, Drama",NA,243,"It show is about the heroic deeds and adventures of a superhero called Hero, who is bestowed with out-of-this-world magical powers by the Goddess Durga to help him fight the criminals and supervillains."
"627","Lobo","6.3","2000",2,"Animation, Short, Action","TV-MA",119,"The many adventures of the Main Man Lobo, a galactic bounty hunter."
"628","The X's","5.8","2005-2006",NA,"Animation, Action, Comedy","TV-Y7",1298,"The escapades of the X's, a family of well trained secret agents gifted in thwarting the forces of evil, yet not so gifted in fitting into everyday life."
"629","Koala Man","Not-Rated","TBA",NA,"Animation, Action, Adventure",NA,NA,"Follows a family father who lives a not-so-secret identity as the titular hero who possesses a burning passion to snuff out petty crime."
"630","Chloe Chronicles Smallville","6.6","2003-",NA,"Short, Mystery, Sci-Fi",NA,185,"Chloe Sullivan goes on with her research on extended stories of her Wall of Weird findings."
"631","Transformers: Robots in Disguise","6.8","2000",22,"Animation, Action, Adventure","TV-Y7",538,"Optimus Prime and the Autobots defend Earth against Megatron and combined forces of the evil Predacons and Decepticons."
"632","Kamen Rider Black","8.2","1987-1988",25,"Action, Adventure, Drama","TV-PG",465,"Kidnapped foster brothers Kôtarô Minami and Nobuhiko Akizuki were turned into cyborgs by the evil empire Golgom. Having managed to escape, Kôtarô transforms into Kamen Rider Black, dedicated to fighting Golgom, and searching for Nobuhiko."
"633","Casshern Sins","7.2","2008-",24,"Animation, Action, Adventure","TV-MA",848,"The world is falling apart and Casshern is to blame. He is said to have killed a robot named ""Luna"" and by doing so unleashed a plague referred to as ""ruin"". But Casshern has no ... See full summary »"
"634","Cybersix","7.9","1999",NA,"Animation, Action, Adventure","TV-Y7",547,"A female android battles her evil creator's forces as a mysterious superhero."
"635","Dino Squad","5.5","2007-2008",30,"Animation","TV-PG",150,"Five quirky teenagers become dinosaurs to fight crime."
"636","Action Man","6.1","1995-1997",30,"Animation, Action, Adventure","TV-Y7",440,"The adventures of Action Man and his friends in the fight against Doctor X."
"637","Zetman","6.4","2012-",NA,"Animation, Action, Sci-Fi","TV-MA",518,"The story starts off with showing what players are and showing how Kouga and Jin were friends when they were young than the story makes a leap forward in time and follows the 2 main ... See full summary »"
"638","Dragon Booster","7.4","2004-2006",30,"Adventure, Action, Animation","TV-Y7",893,"A teenager named Artha Penn teams up with a dragon named Beau and Artha was the chosen hero called the Dragon Booster."
"639","Plastic Man","6.5","1979-",120,"Animation, Adventure, Family","TV-G",481,"The adventures of the original stretchable superhero and various other characters."
"640","American Jesus","Not-Rated","TBA",NA,"Action, Adventure, Drama",NA,NA,"Jesus Christ returns to Earth where he takes on the Antichrist in a final battle to save humankind."
"641","Sabrina the Teenage Witch","6.9","1971-1974",NA,"Animation, Comedy, Family",NA,261,"Toon version of the Archie Comics witch who uses her powers to aide the uncertainty of adolescence."
"642","Commando Cody: Sky Marshal of the Universe","6","1953-",30,"Action, Adventure, Sci-Fi",NA,167,"Dangerous climate changes are ravaging Earth and the U.S. government requests an investigation by masked super-scientist Commando Cody. He discovers that the disasters are being caused by space-alien forces from unknown planetary origins."
"643","Challenge of the Superfriends","7.6","1978",30,"Animation, Action, Family","TV-Y7",1664,"The Justice League of America battles the plots of the supervillian team, the Legion of Doom."
"644","SuperBook","7","1981-1982",NA,"Animation, Adventure, Drama","TV-G",335,"A mystical Bible transports children into it to relive adventures from the Testaments."
"645","Sable","7.4","1987-1988",60,"Adventure",NA,61,"A children's book writer serves as a mysterious vigilante at night."
"646","Wild West C.O.W.-Boys of Moo Mesa","7.3","1992-1994",30,"Animation, Short, Action","TV-Y7",306,"In the 1800's, a mysterious comet hits the U.S. southwest, transforming the local cattle and animals into their own version of the old west called Moo Mesa, complete with several lawmen dealing with bizarre outlaws."
"647","Kamen Rider Zi-O","6.9","2018-2019",24,"Action, Adventure, Comedy","TV-PG",276,"Sougo Tokiwa who always dreamed of becoming a king encounters a mysterious girl who came from the future and warns him that he would become the king of all time, Kamen Rider Zi-O, who destined to rule the world."
